1565426125.169446 Temp=28.0C and Humidity=74.6%
1565426131.046632 Temp=28.0C and Humidity=74.6%
1565426137.099703 Temp=28.0C and Humidity=74.5%
1565426139.099404 Temp=28.0C and Humidity=74.5%
1565426147.625196 Temp=28.0C and Humidity=74.6%
1565426154.363518 Temp=28.0C and Humidity=75.2%
1565426157.044783 Temp=28.0C and Humidity=74.2%
1565426180.248592 Temp=28.0C and Humidity=74.8%
1565426188.491573 Temp=28.0C and Humidity=74.9%
1565426191.116228 Temp=28.0C and Humidity=74.9%
1565426224.610874 Temp=28.0C and Humidity=75.0%
1565426225.698789 Temp=28.0C and Humidity=75.0%
1565426227.203352 Temp=28.0C and Humidity=75.0%
1565426232.118625 Temp=28.0C and Humidity=75.0%
1565426240.502659 Temp=28.0C and Humidity=75.0%
1565426241.617067 Temp=28.0C and Humidity=75.1%
1565426245.650173 Temp=28.0C and Humidity=75.1%
1565426248.206057 Temp=28.0C and Humidity=75.1%
1565426250.026297 Temp=28.0C and Humidity=75.1%
1565426253.947807 Temp=28.0C and Humidity=75.1%
1565426260.856237 Temp=28.0C and Humidity=75.0%
1565426261.566697 Temp=28.0C and Humidity=75.0%
1565426267.410374 Temp=28.0C and Humidity=75.0%
1565426270.026252 Temp=28.0C and Humidity=75.0%
1565426278.281971 Temp=28.0C and Humidity=74.9%
1565426279.576768 Temp=28.0C and Humidity=75.0%
1565426283.586647 Temp=28.0C and Humidity=74.9%
1565426285.348357 Temp=28.1C and Humidity=75.0%
1565426291.127538 Temp=28.1C and Humidity=75.0%
1565426322.091005 Temp=28.1C and Humidity=75.2%
1565426326.953425 Temp=28.1C and Humidity=75.2%
1565426329.818499 Temp=28.1C and Humidity=75.3%
1565426337.801989 Temp=28.0C and Humidity=75.2%
1565426344.009488 Temp=28.0C and Humidity=75.2%
1565426345.606887 Temp=28.0C and Humidity=75.2%
1565426351.991184 Temp=28.0C and Humidity=75.2%
1565426355.769991 Temp=28.0C and Humidity=75.1%
1565426358.986303 Temp=28.1C and Humidity=75.2%
1565426359.977218 Temp=28.1C and Humidity=75.2%
1565426365.857337 Temp=28.1C and Humidity=75.2%
1565426372.458387 Temp=28.1C and Humidity=75.2%
1565426376.686292 Temp=28.1C and Humidity=75.2%
1565426378.300324 Temp=28.1C and Humidity=75.2%
1565426416.500652 Temp=28.1C and Humidity=75.5%
1565426427.330832 Temp=28.1C and Humidity=75.4%
1565426430.051735 Temp=28.1C and Humidity=75.4%
1565426445.491143 Temp=28.1C and Humidity=75.4%
1565426461.207671 Temp=28.1C and Humidity=75.5%
1565426486.629064 Temp=28.1C and Humidity=75.6%
1565426489.489540 Temp=28.1C and Humidity=75.6%
1565426497.350132 Temp=28.1C and Humidity=75.6%
1565426502.500769 Temp=28.1C and Humidity=75.6%
1565426508.516841 Temp=28.1C and Humidity=75.7%
1565426518.025782 Temp=28.1C and Humidity=75.7%
1565426519.436756 Temp=28.1C and Humidity=75.7%
1565426520.696714 Temp=28.1C and Humidity=75.7%
1565426524.579627 Temp=28.1C and Humidity=75.7%
1565426525.701014 Temp=26.5C and Humidity=75.7%
1565426527.346423 Temp=28.1C and Humidity=75.7%
1565426531.722235 Temp=28.1C and Humidity=75.7%
1565426537.597136 Temp=28.1C and Humidity=75.8%
1565426543.016526 Temp=28.1C and Humidity=75.8%
1565426548.519708 Temp=28.1C and Humidity=75.9%
1565426561.517298 Temp=28.1C and Humidity=75.7%
1565426569.393427 Temp=28.1C and Humidity=75.8%
1565426588.503419 Temp=28.1C and Humidity=75.9%
1565426602.730367 Temp=28.1C and Humidity=75.7%
1565426605.328633 Temp=28.1C and Humidity=75.7%
1565426609.500548 Temp=28.1C and Humidity=75.7%
1565426610.586483 Temp=28.2C and Humidity=75.8%
1565426615.430492 Temp=28.1C and Humidity=75.7%
1565426623.688431 Temp=28.1C and Humidity=75.7%
1565426626.302084 Temp=28.2C and Humidity=75.8%
1565426632.179558 Temp=28.1C and Humidity=75.7%
1565426634.168011 Temp=28.1C and Humidity=75.6%
1565426639.853593 Temp=28.1C and Humidity=75.6%
1565426648.228557 Temp=28.1C and Humidity=75.6%
1565426649.939949 Temp=28.1C and Humidity=76.3%
1565426650.890386 Temp=28.1C and Humidity=75.6%
1565426651.950402 Temp=28.1C and Humidity=75.6%
1565426655.038373 Temp=28.1C and Humidity=75.6%
1565426660.776530 Temp=28.1C and Humidity=75.5%
1565426671.046426 Temp=28.1C and Humidity=75.5%
1565426674.180549 Temp=28.1C and Humidity=75.5%
1565426689.398994 Temp=28.1C and Humidity=75.6%
1565426697.256251 Temp=28.1C and Humidity=75.6%
1565426704.107693 Temp=28.1C and Humidity=75.6%
1565426704.993883 Temp=28.1C and Humidity=75.6%
1565426706.071289 Temp=28.1C and Humidity=75.6%
1565426715.060178 Temp=28.1C and Humidity=75.6%
1565426718.407935 Temp=28.1C and Humidity=75.6%
1565426723.227191 Temp=28.1C and Humidity=75.7%
1565426724.217779 Temp=28.1C and Humidity=75.7%
1565426726.946373 Temp=28.1C and Humidity=75.7%
1565426728.397768 Temp=28.1C and Humidity=75.6%
1565426734.107639 Temp=28.2C and Humidity=75.7%
1565426735.240015 Temp=28.1C and Humidity=75.6%
